time_ms,leftY_dps,rightY_dps,left_flag,right_flag
Time(ms),LeftY,RightY,Lflag,Rflag
8041,0.923,1.059,0,0
8141,-0.602,-0.099,0,0
8241,-0.907,1.364,0,0
8342,-0.297,1.913,0,0
8442,-1.821,0.511,0,0
8542,1.045,0.633,0,0
8642,1.106,-0.709,0,0
8743,-0.663,0.755,0,0
8843,-1.455,1.425,0,0
8943,-1.516,-1.563,0,0
9043,0.130,0.267,0,0
9143,0.130,1.425,0,0
9243,-1.029,-1.623,0,0
9344,0.496,-0.343,0,0
9444,0.984,-0.892,0,0
9545,0.069,-0.343,0,0
9645,0.130,0.511,0,0
9745,-0.175,0.450,0,0
9845,-0.419,0.328,0,0
9945,10.557,-0.404,1,0
10045,-1.882,2.401,0,0
10145,-0.175,0.633,0,0
10246,-0.480,-0.099,0,0
10347,1.532,0.084,0,0
10448,0.252,-0.404,0,0
10548,-6.333,0.572,0,0
10648,-15.175,-1.502,1,0
10748,-14.260,-0.282,1,0
10848,10.618,-0.282,1,0
10949,11.349,1.669,1,0
11049,24.825,0.755,1,0
11149,10.496,-1.563,1,0
11249,-83.712,0.328,1,0
11350,12.020,1.608,1,0
11450,-15.114,1.608,1,0
11550,1.410,-0.099,0,0
11650,7.569,0.937,0,0
11750,2.874,-1.989,0,0
11850,5.069,0.998,0,0
11950,-15.297,-2.050,1,0
12051,12.996,-1.623,1,0
12152,13.788,1.120,1,0
12252,-2.919,-0.404,0,0
12352,1.776,-0.831,0,0
12452,0.435,-0.526,0,0
12552,0.984,-0.526,0,0
12652,0.374,1.242,0,0
12752,0.679,1.852,0,0
12853,0.740,-8.148,0,1
12953,2.081,-30.709,0,1
13054,-0.175,-22.477,0,1
13155,-0.053,-11.928,0,1
13255,-0.175,-2.233,0,0
13355,0.862,22.340,0,1
13455,0.618,-46.989,0,1
13555,0.008,-75.404,0,1
13655,0.923,7.279,0,0
13756,0.862,-33.331,0,1
13856,0.374,38.986,0,1
13957,0.435,1.669,0,0
14058,0.496,-0.831,0,0
14159,-0.175,0.633,0,0
14259,-1.029,-0.648,0,0
14359,0.801,-1.014,0,0
14459,0.191,-1.136,0,0
14560,0.069,1.303,0,0
14661,-1.090,-1.014,0,0
14763,0.435,-0.221,0,0
14864,9.459,-0.587,1,0
14964,-8.894,0.145,1,0
15064,-78.529,0.998,1,0
15164,-58.772,0.023,1,0
15264,-287.370,-0.221,1,0
15364,40.557,-0.892,1,0
15464,-33.468,-0.892,1,0
15564,27.691,-0.587,1,0
15664,-206.699,-1.989,1,0
15765,-18.407,0.145,1,0
15866,91.959,0.633,1,0
15966,150.923,-1.928,1,0
16066,263.057,-0.343,1,0
16166,33.118,-1.319,1,0
16266,-12.553,0.206,1,0
16367,-4.992,-0.282,0,0
16468,-1.882,-1.258,0,0
16568,-0.541,-2.538,0,0
16668,-1.760,0.877,0,0
16768,-0.480,-0.892,0,0
16868,0.130,0.998,0,0
16969,-0.480,1.242,0,0
17069,-0.907,1.242,0,0
17169,-1.760,-0.160,0,0
17269,-0.785,0.084,0,0
17369,-0.053,0.389,0,0
17470,-2.553,1.059,0,0
17571,-1.333,1.913,0,0
17671,0.923,0.389,0,0
17771,-0.602,0.816,0,0
17871,-0.663,-1.014,0,0
17972,-1.212,2.096,0,0
18073,-0.175,0.694,0,0
18174,0.191,0.937,0,0
18274,0.801,0.389,0,0
18374,2.386,3.498,0,0
18475,-1.394,212.645,0,1
18575,-1.090,108.925,0,1
18675,-0.541,149.108,0,1
18775,-0.236,-64.245,0,1
18875,-0.053,75.328,0,1
18975,1.471,-131.563,0,1
19076,0.679,-56.928,0,1
19176,0.374,55.572,0,1
19276,-1.151,-72.599,0,1
19376,1.045,-15.648,0,1
19476,1.654,1.242,0,0
19576,0.923,-390.343,0,1
19676,-0.419,61.242,0,1
19776,-1.151,-1.075,0,0
19877,-0.358,1.486,0,0
19977,0.801,-0.770,0,0
20077,0.130,-0.221,0,0
20177,-1.821,0.694,0,0
20278,0.069,-0.221,0,0
20379,0.008,-0.221,0,0
20481,1.410,0.084,0,0
20582,-1.943,0.816,0,0
20683,-0.053,-1.197,0,0
20783,0.557,-0.221,0,0
20883,-1.333,-0.221,0,0
20983,-0.541,-0.282,0,0
21083,-0.114,-1.197,0,0
21184,-0.541,1.852,0,0
21285,-1.577,1.120,0,0
21385,-0.785,-2.233,0,0
21485,-0.663,-0.404,0,0
21585,-1.699,-0.770,0,0
21686,0.252,-0.587,0,0
21787,-0.724,0.998,0,0
21889,1.167,-0.404,0,0
21990,-2.065,-0.099,0,0
22090,-28.346,1.547,1,0
22190,27.813,-1.136,1,0
22290,8.301,-0.465,1,0
22391,29.886,0.450,1,0
22491,-1.882,0.450,0,0
22591,90.069,-0.282,1,0
22691,-98.102,0.206,1,0
22792,149.581,0.816,1,0
22893,188.849,0.511,1,0
22994,-144.199,0.084,1,0
23095,-66.577,-0.770,1,0
23196,-21.821,0.816,1,0
23296,-20.907,0.206,1,0
23396,1.715,-0.282,0,0
23496,-2.126,2.645,0,0
23596,-0.236,0.389,0,0
23697,-1.029,-0.526,0,0
23798,-1.577,-0.709,0,0
23898,-0.602,-1.684,0,0
23998,-1.882,-1.075,0,0
24098,1.106,24.108,0,1
24198,-1.151,247.584,0,1
24298,0.069,44.474,0,1
24398,1.654,-147.111,0,1
24498,-0.114,-160.770,0,1
24598,1.288,8.316,0,1
24698,-0.419,107.096,0,1
24799,-0.053,-105.587,0,1
24899,-0.541,-152.660,0,1
24999,0.252,30.511,0,1
25099,0.252,0.877,0,0
25199,-0.175,-0.709,0,0
25299,-2.492,-1.441,0,0
25399,0.679,-0.831,0,0
25500,1.167,-0.038,0,0
25600,-1.699,-0.160,0,0
25700,-0.663,0.633,0,0
25800,0.496,1.120,0,0
25901,0.740,-0.648,0,0
26002,-2.309,1.059,0,0
26103,0.923,1.730,0,0
