time_ms,leftY_dps,rightY_dps,left_flag,right_flag
0,18.56,-28.17,0,0
10,-27.52,26.187,0,0
20,-38.353,29.595,1,0
30,-23.013,-23.394,0,0
40,-5.444,8.5,0,0
50,-28.84,-10.158,0,0
60,-24.026,7.418,0,0
70,-36.284,-27.038,1,0
80,14.739,-29.803,0,0
90,-0.386,29.086,0,0
100,-15.063,3.755,0,0
110,-25.212,24.491,0,0
120,-32.921,-33.727,0,0
130,-13.974,-17.803,0,0
140,-17.525,-29.02,0,0
150,24.176,34.956,0,0
160,-39.558,17.801,1,0
170,18.321,-36.295,0,1
180,29.048,-13.928,0,0
190,-34.915,-13.351,0,0
200,30.977,9.293,0,0
210,17.06,88.161,0,1
220,1.819,-37.306,0,1
230,-31.369,103.435,0,1
240,32.605,18.565,0,0
250,20.444,-31.639,0,0
260,34.376,11.462,0,0
270,29.717,-7.615,0,0
280,24.595,65.901,0,1
290,-31.196,113.162,0,1
300,-39.444,98.256,1,1
310,-22.231,89.681,0,1
320,1.503,92.682,0,1
330,37.743,131.671,1,1
340,-17.213,7.791,0,0
350,0.214,102.426,0,1
360,-28.408,166.113,0,1
370,-20.636,181.365,0,1
380,-10.577,185.665,0,1
390,2.862,136.401,0,1
400,-36.738,146.235,1,1
410,-38.673,137.71,1,1
420,15.275,171.885,0,1
430,-28.998,145.715,0,1
440,25.378,184.274,0,1
450,-20.652,173.461,0,1
460,-12.878,188.891,0,1
470,31.769,211.624,0,1
480,-27.07,204.351,0,1
490,-39.264,169.724,1,1
500,12.157,158.86,0,1
510,-21.02,175.851,0,1
520,12.609,129.556,0,1
530,-10.583,130.226,0,1
540,31.364,183.061,0,1
550,0.211,147.722,0,1
560,-17.538,129.272,0,1
570,-25.831,197.12,0,1
580,-38.763,140.107,1,1
590,37.332,146.328,1,1
600,28.091,95.256,0,1
610,4.544,151.755,0,1
620,9.201,90.195,0,1
630,1.466,102.278,0,1
640,-11.241,78.506,0,1
650,24.809,83.572,0,1
660,23.864,59.179,0,1
670,23.663,13.458,0,0
680,6.262,21.42,0,0
690,3.412,17.945,0,0
700,-29.835,21.715,0,0
710,-22.734,-34.151,0,0
720,3.251,18.684,0,0
730,38.068,-14.219,1,0
740,-4.882,-34.13,0,0
750,37.012,16.942,1,0
760,-20.285,3.702,0,0
770,17.168,-18.282,0,0
780,-6.432,-10.825,0,0
790,20.628,-27.135,0,0
800,-2.066,-0.606,0,0
810,-2.122,-4.877,0,0
820,10.807,-8.936,0,0
830,146.922,28.541,1,0
840,40.918,-39.174,1,1
850,6.862,6.676,0,0
860,-3.34,35.704,0,1
870,138.85,36.017,1,1
880,-34.305,26.391,0,0
890,34.003,-18.769,0,0
900,10.315,20.509,0,0
910,123.206,-24.455,1,0
920,39.24,-10.024,1,0
930,22.113,33.144,0,0
940,73.079,-33.69,1,0
950,32.204,26.15,0,0
960,-8.864,28.623,0,0
970,75.812,34.444,1,0
980,58.294,-16.338,1,0
990,-13.707,21.026,0,0
1000,-32.704,-35.348,0,1
1010,3.962,30.581,0,0
1020,155.348,10.051,1,0
1030,128.066,14.473,1,0
1040,144.176,-11.233,1,0
1050,92.486,38.466,1,1
1060,196.473,-6.147,1,0
1070,195.621,-0.535,1,0
1080,125.472,-27.799,1,0
1090,188.285,7.063,1,0
1100,157.76,-24.068,1,0
1110,162.488,33.189,1,0
1120,127.014,38.029,1,1
1130,177.046,16.146,1,0
1140,6.745,-39.865,0,1
1150,95.636,34.596,1,0
1160,-17.81,-2.687,0,0
1170,68.591,-34.459,1,0
1180,160.763,15.891,1,0
1190,-17.752,28.348,0,0
1200,34.618,-39.579,0,1
1210,-2.847,24.108,0,0
1220,37.593,29.289,1,0
1230,106.669,-17.757,1,0
1240,175.797,30.958,1,0
1250,138.499,-29.315,1,0
1260,139.293,9.84,1,0
1270,169.079,12.453,1,0
1280,124.743,4.504,1,0
1290,141.924,-8.419,1,0
1300,191.965,-27.086,1,0
1310,124.825,6.935,1,0
1320,32.333,1.078,0,0
1330,22.692,9.524,0,0
1340,-3.269,-0.659,0,0
1350,33.612,-21.454,0,0
1360,98.335,30.567,1,0
1370,-2.083,-27.269,0,0
1380,-25.839,-27.353,0,0
1390,-3.138,-10.093,0,0
1400,123.294,10.967,1,0
1410,-33.459,36.689,0,1
1420,24.496,-26.742,0,0
1430,-23.252,-1.2,0,0
1440,-2.997,10.04,0,0
1450,156.276,33.235,1,0
1460,58.135,2.576,1,0
1470,126.848,-9.274,1,0
1480,-30.419,8.189,0,0
1490,14.328,23.945,0,0
1500,6.947,-5.789,0,0
1510,-29.794,-2.498,0,0
1520,65.386,9.45,1,0
1530,158.943,-25.117,1,0
1540,-25.075,-14.825,0,0
1550,31.741,1.763,0,0
1560,-31.037,36.637,0,1
1570,29.241,-20.842,0,0
1580,34.35,5.807,0,0
1590,-17.602,113.853,0,1
1600,0.609,70.108,0,1
1610,8.85,149.786,0,1
1620,2.607,-5.751,0,0
1630,-29.247,192.657,0,1
1640,-19.629,21.725,0,0
1650,7.651,117.796,0,1
1660,26.45,-33.411,0,0
1670,18.469,74.201,0,1
1680,5.958,30.216,0,0
1690,23.621,70.019,0,1
1700,13.216,14.244,0,0
1710,30.176,170.982,0,1
1720,150.076,18.864,1,0
1730,0.218,186.367,0,1
1740,32.518,-25.298,0,0
1750,197.992,-13.612,1,0
1760,9.606,123.49,0,1
1770,23.088,150.392,0,1
1780,-37.317,61.637,1,1
1790,30.141,166.576,0,1
1800,23.784,145.323,0,1
1810,17.78,124.931,0,1
1820,-19.856,109.61,0,1
1830,32.676,-8.091,0,0
1840,-27.732,126.055,0,1
1850,8.916,184.84,0,1
1860,15.732,210.699,0,1
1870,-27.797,146.925,0,1
1880,34.749,33.573,0,0
1890,-30.941,157.944,0,1
1900,7.302,141.914,0,1
1910,-13.184,99.072,0,1
1920,2.992,-13.531,0,0
1930,169.331,-4.04,1,0
1940,-28.731,109.908,0,1
1950,166.753,-12.105,1,0
1960,-38.952,52.691,1,1
1970,36.886,138.843,1,1
1980,-34.634,-24.6,0,0
1990,31.844,98.756,0,1
2000,5.187,112.386,0,1
2010,-3.737,-4.767,0,0
2020,-27.581,182.297,0,1
2030,35.689,-17.783,1,0
2040,98.469,15.852,1,0
2050,12.714,111.271,0,1
2060,-38.423,168.759,1,1
2070,138.974,-21.713,1,0
2080,17.781,28.673,0,0
2090,-8.225,-24.553,0,0
2100,-38.96,90.911,1,1
2110,-37.877,6.135,1,0
2120,25.395,129.939,0,1
2130,-9.625,-18.957,0,0
2140,154.901,-16.191,1,0
2150,35.876,165.723,1,1
2160,31.564,-6.413,0,0
2170,-38.202,137.68,1,1
2180,52.561,41.867,1,1
2190,2.055,47.701,0,1
2200,-18.076,12.271,0,0
2210,199.662,-36.364,1,1
2220,8.041,-26.999,0,0
2230,33.153,66.993,0,1
2240,125.908,-35.283,1,1
2250,8.252,-8.315,0,0
2260,180.589,5.054,1,0
2270,-1.916,36.319,0,1
2280,135.947,7.172,1,0
